,start_station_name,end_station_name,count,index_x,lat_x,lng_x,index_y,lat_y,lng_y
38,Mama Johnson Field - 4 St & Jackson St,11 St & Washington St,21.0,Mama Johnson Field - 4 St & Jackson St,40.74313645259126,-74.04004906146669,11 St & Washington St,40.749990333032464,-74.02718736140429
39,Marin Light Rail,11 St & Washington St,2.0,Marin Light Rail,40.714585169920014,-74.04281584524314,11 St & Washington St,40.749990333032464,-74.02718736140429
40,Marshall St & 2 St,11 St & Washington St,19.0,Marshall St & 2 St,40.740765367506214,-74.04254964402006,11 St & Washington St,40.749990333032464,-74.02718736140429
41,Monmouth and 6th,11 St & Washington St,3.0,Monmouth and 6th,40.725665114944135,-74.04880399651331,11 St & Washington St,40.749990333032464,-74.02718736140429
42,Montgomery St,11 St & Washington St,1.0,Montgomery St,40.71942260191589,-74.05099546395327,11 St & Washington St,40.749990333032464,-74.02718736140429
43,Newark Ave,11 St & Washington St,1.0,Newark Ave,40.72151674031582,-74.04630136759572,11 St & Washington St,40.749990333032464,-74.02718736140429
44,Newport PATH,11 St & Washington St,6.0,Newport PATH,40.727220293617044,-74.03375238731287,11 St & Washington St,40.749990333032464,-74.02718736140429
45,Newport Pkwy,11 St & Washington St,12.0,Newport Pkwy,40.72874290486994,-74.03211046211277,11 St & Washington St,40.749990333032464,-74.02718736140429
46,Oakland Ave,11 St & Washington St,4.0,Oakland Ave,40.73759292489517,-74.05245382611778,11 St & Washington St,40.749990333032464,-74.02718736140429
47,Paulus Hook,11 St & Washington St,1.0,Paulus Hook,40.714145417895736,-74.03355037847584,11 St & Washington St,40.749990333032464,-74.02718736140429
48,Riverview Park,11 St & Washington St,2.0,Riverview Park,40.744459053317044,-74.04391302290752,11 St & Washington St,40.749990333032464,-74.02718736140429
49,South Waterfront Walkway - Sinatra Dr & 1 St,11 St & Washington St,146.0,South Waterfront Walkway - Sinatra Dr & 1 St,40.73700753288959,-74.02777588542521,11 St & Washington St,40.749990333032464,-74.02718736140429
50,Southwest Park - Jackson St & Observer Hwy,11 St & Washington St,20.0,Southwest Park - Jackson St & Observer Hwy,40.7375689337438,-74.04166100633643,11 St & Washington St,40.749990333032464,-74.02718736140429
51,Stevens - River Ter & 6 St,11 St & Washington St,16.0,Stevens - River Ter & 6 St,40.743144991244904,-74.0269876793701,11 St & Washington St,40.749990333032464,-74.02718736140429
52,Warren St,11 St & Washington St,7.0,Warren St,40.72112066810259,-74.03803718607728,11 St & Washington St,40.749990333032464,-74.02718736140429
53,Washington St,11 St & Washington St,7.0,Washington St,40.724291891746596,-74.03548133892006,11 St & Washington St,40.749990333032464,-74.02718736140429
54,Willow Ave & 12 St,11 St & Washington St,22.0,Willow Ave & 12 St,40.751887812263035,-74.03037017113127,11 St & Washington St,40.749990333032464,-74.02718736140429
