,index,lat,lng
147,Greenwich St & Hubert St,40.721319,-74.010065
148,Greenwich St & W Houston St,40.728846,-74.008591
158,Hudson St & W 13 St,40.74005708567285,-74.0052741765976
165,Lafayette St & Jersey St,40.72456089,-73.99565293
166,Laight St & Hudson St,40.72185379,-74.00771779
170,Lispenard St & Broadway,40.71939226,-74.00247214
171,Little West St & 1 Pl,40.70569254,-74.01677685
174,Maiden Ln & Pearl St,40.70706456,-74.00731853
180,Mercer St & Spring St,40.72362738,-73.99949601
184,Mott St & Prince St,40.72317958,-73.99480012
185,N Moore St & Hudson St,40.71996118117138,-74.00844320654869
189,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915
191,Park Ave & St Edwards St,40.69608941,-73.97803415
192,Park Pl & Church St,40.71334184275907,-74.00935515761375
195,Riverside Dr & W 72 St,40.78057799010334,-73.98562431335449
197,Shop Morgan,40.70987333941734,-73.9315938949585
198,South St & Gouverneur Ln,40.70355377,-74.00670227
199,South St & Pike St,40.70991806921533,-73.99161100387573
202,St James Pl & Oliver St,40.71307916,-73.99851193
204,Suffolk St & Stanton St,40.72066442,-73.98517977
207,Vernon Blvd & 47 Rd,40.7449067,-73.9534573
208,Vesey Pl & River Terrace,40.7153379,-74.01658354
209,Vesey St & Church St,40.71221958009051,-74.01047229766846
210,W 10 St & Washington St,40.73342399437081,-74.00851495563984
211,W 104 St & Amsterdam Ave,40.79904139288298,-73.96649479866028
212,W 116 St & Amsterdam Ave,40.8067581,-73.9607082
213,W 15 St & 10 Ave,40.74275382865903,-74.00747358798981
214,W 16 St & The High Line,40.74334935,-74.00681753
215,W 180 St & Ft Washington Ave,40.849972,-73.938423
216,W 22 St & 10 Ave,40.74691959,-74.00451887
217,W 34 St & 11 Ave,40.75594159,-74.0021163
218,W 34 St &\tHudson Blvd E,40.75516719072139,-74.00059908628464
219,W 44 St & 11 Ave,40.762009,-73.996975
220,W 44 St & 5 Ave,40.75500254,-73.98014437
221,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626
222,W 54 St & 11 Ave,40.768333,-73.992573
223,W 59 St & 10 Ave,40.770513,-73.988038
224,W Broadway & W Houston St,40.726378,-74.000472
227,Washington St & Laight St,40.72231,-74.0106
228,Water St &  Fletcher St,40.706410755236135,-74.00559738278389
229,Water St & Gouverneur Ln,40.70469667894968,-74.00803416967392
230,West St & Chambers St,40.71754834,-74.01322069
231,West Thames St,40.70834698,-74.01713445
232,William St & Pine St,40.70717936,-74.00887308
234,York St,40.71649,-74.04105
